CUSTNAME,REGION,PARTNUM,REVENUE,COST,MARGIN
3M COMPANY,01-East,727032005," $ 24,098 "," $ 19,852 "," $ 4,246 "
4-STATE SUPPLY,01-East,735602000," $ 156,200 "," $ 52,381 "," $ 103,819 "
4-STATE SUPPLY,01-East,777143000," $ 34,927 "," $ 15,382 "," $ 19,545 "
4-STATE SUPPLY,01-East,777142000," $ 21,989 "," $ 12,563 "," $ 9,427 "
4-STATE SUPPLY,01-East,735750000," $ 12,487 "," $ 3,687 "," $ 8,800 "
A G C INC.,01-East,791104479," $ 78,642 "," $ 18,147 "," $ 60,495 "
A G C INC.,01-East,791106280," $ 3,340 "," $ 7,614 "," $ -4,274 "
A P S TECHNOLOGY,01-East,764521000, $ 333 , $ 13 , $ 320 
A W CHESTERTON COMPANY,01-East,770560000," $ 2,938 ", $ 258 ," $ 2,679 "
A W CHESTERTON COMPANY,01-East,770568000," $ 1,029 ", $ 90 , $ 940 
A&F WHOLESALE INSULATION,01-East,770264000," $ 95,135 "," $ 41,677 "," $ 53,457 "
A&F WHOLESALE INSULATION,01-East,735602000," $ 89,104 "," $ 26,646 "," $ 62,458 "
A&F WHOLESALE INSULATION,01-East,764861000," $ 70,882 "," $ 30,090 "," $ 40,792 "
A&F WHOLESALE INSULATION,01-East,764521000," $ 70,611 "," $ 22,683 "," $ 47,928 "
A&F WHOLESALE INSULATION,01-East,770220200," $ 69,066 "," $ 21,411 "," $ 47,655 "
A&F WHOLESALE INSULATION,01-East,724281200," $ 45,570 "," $ 24,307 "," $ 21,263 "
A&F WHOLESALE INSULATION,01-East,733151500," $ 21,384 "," $ 5,114 "," $ 16,270 "
A&F WHOLESALE INSULATION,01-East,764901000," $ 12,155 "," $ 3,650 "," $ 8,505 "
A&F WHOLESALE INSULATION,01-East,770380000," $ 12,140 "," $ 2,315 "," $ 9,825 "
A&F WHOLESALE INSULATION,01-East,735602110," $ 11,028 "," $ 3,418 "," $ 7,610 "
A&F WHOLESALE INSULATION,01-East,770200000," $ 10,953 "," $ 2,403 "," $ 8,550 "
A&F WHOLESALE INSULATION,01-East,737271000," $ 6,026 "," $ 9,871 "," $ -3,845 "
A&F WHOLESALE INSULATION,01-East,770540000," $ 4,897 ", $ 475 ," $ 4,423 "
A&F WHOLESALE INSULATION,01-East,733525600," $ 4,693 ", $ 868 ," $ 3,824 "
A&F WHOLESALE INSULATION,01-East,764821000," $ 4,390 "," $ 1,356 "," $ 3,034 "
A&F WHOLESALE INSULATION,01-East,738521000," $ 2,373 "," $ 1,601 ", $ 772 
A&F WHOLESALE INSULATION,01-East,739561200," $ 1,629 ", $ 660 , $ 969 
A&F WHOLESALE INSULATION,01-East,764781000," $ 1,594 ", $ 409 ," $ 1,185 "
A&F WHOLESALE INSULATION,01-East,770512000," $ 1,193 ", $ 89 ," $ 1,104 "
A&F WHOLESALE INSULATION,01-East,733211050, $ 968 , $ 224 , $ 744 
A&F WHOLESALE INSULATION,01-East,734851000, $ 861 , $ 183 , $ 678 
A&F WHOLESALE INSULATION,01-East,739541200, $ 829 , $ 256 , $ 573 
A&F WHOLESALE INSULATION,01-East,764902000, $ 606 , $ 192 , $ 414 
A&F WHOLESALE INSULATION,01-East,735750000, $ 516 , $ 127 , $ 389 
A&F WHOLESALE INSULATION,01-East,734611100, $ 415 , $ 81 , $ 334 
A&F WHOLESALE INSULATION,01-East,739561000, $ 405 , $ 170 , $ 234 
A&F WHOLESALE INSULATION,01-East,734311100, $ 309 , $ 35 , $ 274 
A&F WHOLESALE INSULATION,01-East,733141200, $ 271 , $ 67 , $ 204 
A&F WHOLESALE INSULATION,01-East,733464500, $ 268 , $ 65 , $ 203 
A&F WHOLESALE INSULATION,01-East,735752000, $ 258 , $ 64 , $ 194 
A.C. MILLER CONCRETE,01-East,764481000," $ 23,006 "," $ 1,405 "," $ 21,601 "
A.C. MILLER CONCRETE,01-East,764461006, $ 776 , $ 55 , $ 722 
"ABLE AEROSPACE, INC.",01-East,734311100, $ 381 , $ 34 , $ 348 
ABSORPTION CORP.,01-East,764221000, $ 476 , $ 34 , $ 442 
ACCEL-RF CORPORATION,01-East,733141200, $ 520 , $ 67 , $ 453 
ACME SPECIALTIES INC,01-East,733545700," $ 1,079 ", $ 134 , $ 945 
ACS INDUSTRIES INC.,01-East,740382101," $ 165,294 "," $ 57,490 "," $ 107,804 "
ACS INDUSTRIES INC.,01-East,733011000," $ 4,800 "," $ 1,200 "," $ 3,600 "
ADVANCE COOLING,01-East,739781100, $ 395 , $ 95 , $ 300 
ADVANCE THERMAL CORP,01-East,768221130," $ 131,510 "," $ 39,170 "," $ 92,341 "
ADVANCE THERMAL CORP,01-East,733201000," $ 18,278 "," $ 4,680 "," $ 13,598 "
ADVANCE THERMAL CORP,01-East,733151500," $ 17,460 "," $ 3,704 "," $ 13,756 "
ADVANCED CLIMATE TECH,01-East,770560000, $ 597 , $ 90 , $ 508 
ADVANCED RADIATION CORP,01-East,734211200," $ 3,785 ", $ 370 ," $ 3,415 "
AECOM,01-East,770722000," $ 1,342 ", $ 38 ," $ 1,304 "
AECOM,01-East,770930000," $ 1,055 ", $ 24 ," $ 1,031 "
AERO ENGINEERING & MFG,01-East,771100000," $ 5,400 ", $ 147 ," $ 5,253 "
AERO ENGINEERING & MFG,01-East,771102000, $ 967 , $ 23 , $ 944 
AERO TUBE TECHNOLOGIES,01-East,770800000," $ 2,736 ", $ 51 ," $ 2,685 "
AGIS,01-East,739561100," $ 56,288 "," $ 24,606 "," $ 31,682 "
AGIS,01-East,740063000," $ 38,956 "," $ 12,193 "," $ 26,762 "
AGIS,01-East,764822000," $ 15,720 "," $ 2,604 "," $ 13,115 "
AGIS,01-East,734311100," $ 12,847 "," $ 1,478 "," $ 11,369 "
AGIS,01-East,777601000," $ 4,915 "," $ 1,367 "," $ 3,548 "
AGIS,01-East,734900000," $ 4,603 "," $ 1,637 "," $ 2,966 "
AGIS,01-East,764781040," $ 3,262 ", $ 659 ," $ 2,603 "
